kepoi_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
K00775.01,CONFIRMED,16.3849,0.001,3.0249,1127.1,0.02976,5.4538,2.0,0.1084,90.0,433.0,8.35,42.62,6.41957,28.12264,28.9,4126.0,4.661,0.04,0.615,0.633,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36,0.204,19.11585,49.97583,-0.67,0.28,0.0006,-3e-05,0.02,-0.02,0.03,-0.07,0.15,0.17
K00775.02,CONFIRMED,7.87742,0.041,2.0805,1306.1,0.03209,8.09685,2.16,0.0665,89.92,553.0,22.18,29.84,10.03649,41.45066,38.7,4126.0,4.661,0.04,0.615,0.633,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36,0.588,19.11586,49.97582,-0.34,0.27,0.00032,-2e-05,0.06,-0.03,0.07,-0.02,0.16,0.16
K00775.03,CONFIRMED,36.4454,0.028,4.007,1122.3,0.02968,5.21237,1.99,0.1847,89.98,332.0,2.88,71.53,5.99037,19.80327,21.7,4126.0,4.661,0.04,0.615,0.633,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36,0.01,19.11587,49.97559,0.04,-0.58,-0.00014,0.00084,-0.01,0.17,0.17,-0.07,0.36,0.36
K00776.01,CONFIRMED,3.72873,0.558,2.683,5226.5,0.06818,1.24118,6.02,0.0455,86.7,1023.0,258.34,9.7,28.26487,360.1958,345.2,5497.0,4.577,-0.1,0.809,0.907,15.523,16.107,15.461,15.273,15.177,14.179,13.825,13.669,0.0,19.38572,50.05406,0.083,-0.217,0.00057,-0.00136,-0.072,0.041,0.083,0.033,-0.117,0.122
K00778.01,CONFIRMED,2.24338,0.915,1.1196,821.7,0.03225,1.50915,1.99,0.028,82.88,822.0,107.6,7.38,4.2515,30.57856,38.9,4149.0,4.698,-0.32,0.564,0.578,15.135,16.369,15.11,14.607,14.322,13.213,12.521,12.394,0.0,19.01174,50.14995,-0.06,0.46,-0.00024,-0.00057,0.19,0.27,0.33,0.05,-0.06,0.08
K00779.01,FALSE POSITIVE,10.406,0.324,6.5036,14489.0,0.11125,0.38489,11.23,0.0855,88.57,833.0,113.94,13.012,97.352,691.1691,745.2,5746.0,4.393,-0.54,0.924,0.77,15.562,16.096,15.528,15.333,15.219,14.305,13.944,13.93,0.553,19.28237,50.24095,0.091,-0.188,-0.00025,0.0,-0.011,0.004,0.012,-0.026,-0.098,0.101
K00780.01,CONFIRMED,2.33744,0.28,1.9982,971.2,0.028,2.41093,2.34,0.0325,88.19,1070.0,311.16,8.86,6.03104,63.58795,82.4,5005.0,4.595,0.14,0.765,0.85,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195,0.0,19.58889,50.23023,0.16,-0.45,6e-05,0.00045,0.027,0.05,0.061,0.357,0.2,0.41
K00781.01,CONFIRMED,11.59822,0.679,2.5237,2804.5,0.05129,3.14915,2.65,0.0798,88.62,396.0,5.82,28.2,11.46134,62.37622,71.0,3688.0,4.79,0.0,0.473,0.503,15.937,17.501,16.14,15.267,14.795,13.474,12.813,12.628,0.178,19.74815,50.28748,0.63,0.92,-0.00029,0.0006,0.059,-0.03,0.066,0.29,0.628,0.69
K00782.01,CONFIRMED,6.57532,0.39,4.3084,2793.3,0.04915,0.64392,5.31,0.067,88.03,1015.0,251.38,11.37,20.53735,210.22159,221.1,5992.0,4.415,-0.32,0.989,0.927,15.312,15.797,15.275,15.104,15.03,14.071,13.793,13.686,0.013,19.33987,50.32158,0.016,-0.099,0.00044,-7e-05,-0.033,-0.04,0.052,-0.009,-0.181,0.181
K00783.01,CONFIRMED,7.27504,0.547,7.5377,3001.0,0.05136,0.10578,4.86,0.0732,85.29,833.0,113.64,6.66,24.6395,234.95987,312.1,5485.0,4.556,0.21,0.867,0.986,15.08,15.69,14.996,14.819,14.745,13.732,13.402,13.26,0.0,19.69703,50.49465,0.234,0.323,0.00066,0.00064,-0.054,-0.065,0.085,0.008,-0.134,0.134
K00784.01,CONFIRMED,19.27154,0.031,2.7594,1219.8,0.03158,8.48241,1.93,0.1171,89.97,393.0,5.66,55.02,6.43726,28.49097,37.1,4077.0,4.702,-0.24,0.56,0.576,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589,0.0,19.59825,50.53192,0.78,0.05,-0.00076,0.00145,0.2,-0.17,0.26,0.28,-0.23,0.36
K00784.02,CONFIRMED,10.06524,0.628,1.369,1053.3,0.03115,18.09666,1.91,0.076,89.22,488.0,13.43,45.9,5.44676,21.65854,30.3,4077.0,4.702,-0.24,0.56,0.576,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589,0.0,19.59821,50.53192,-0.42,0.02,0.00053,0.00116,0.11,-0.23,0.25,0.17,-0.23,0.28
K00785.01,CONFIRMED,12.39357,0.883,3.8896,916.6,0.03254,0.27483,2.66,0.0983,86.13,677.0,49.68,13.07,5.60575,31.60855,35.8,5557.0,4.603,-0.4,0.75,0.832,15.505,16.079,15.474,15.258,15.177,14.196,13.783,13.692,0.758,19.73476,50.56789,0.13,0.39,0.00019,0.00011,-0.17,-0.04,0.17,-0.16,0.09,0.18
K00116.02,CONFIRMED,43.8444,0.852,6.802,615.2,0.02593,0.22039,2.87,0.2395,88.27,531.0,18.77,28.2,16.55447,65.59482,83.7,5854.0,4.406,-0.12,1.012,0.951,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,0.012,20.0576,44.33755,0.19,0.01,0.0002,0.00012,0.12,-0.2,0.23,0.21,-0.03,0.22
K00798.01,FALSE POSITIVE,3.34191,1.213,3.813,725.3,0.24335,0.01791,21.55,0.0415,56.44,1032.0,268.67,2.19,5.0937,32.72262,39.0,5295.0,4.551,-0.02,0.811,0.853,15.629,16.325,15.556,15.331,15.173,14.14,13.729,13.681,0.0,19.48753,38.2705,-8.51,0.75,0.00348,-0.00058,-5.106,0.825,5.172,-5.301,0.823,5.364
K00799.01,FALSE POSITIVE,1.62663,1.26,2.1145,1620.6,0.30524,0.09631,32.43,0.026,58.03,1547.0,1355.88,2.38,5.30618,45.88568,103.6,5735.0,4.41,-0.18,0.973,0.889,15.279,15.857,15.224,15.031,14.88,13.918,13.59,13.507,0.0,19.62455,38.30991,0.09,-1.31,-2e-05,0.0008,0.1,-0.809,0.82,-0.006,-0.96,0.96
K00800.01,CONFIRMED,2.7115,0.023,3.0099,837.5,0.02653,0.91618,3.12,0.0401,89.81,1420.0,960.79,7.088,6.3431,48.72612,64.5,6214.0,4.442,0.07,1.076,1.169,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065,0.0,19.44358,38.49475,0.42,0.32,-0.00037,-0.0003,-0.02,0.05,0.05,0.02,0.1,0.104
K00800.02,CONFIRMED,7.21204,0.012,4.0491,950.4,0.02826,0.99867,3.32,0.077,89.95,1025.0,260.58,14.003,6.16832,40.04205,51.5,6214.0,4.442,0.07,1.076,1.169,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065,0.0,19.44357,38.49489,0.07,0.81,-0.00011,-0.00083,0.05,0.07,0.09,0.07,0.19,0.2
K00790.01,CONFIRMED,8.47238,0.022,2.7245,1123.5,0.03012,3.86328,2.59,0.0778,89.95,751.0,75.44,24.47,5.74199,39.86798,47.6,5354.0,4.587,-0.08,0.788,0.884,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453,0.046,19.7578,51.31958,1.18,0.22,-0.00048,0.00037,-0.148,0.09,0.17,-0.097,0.04,0.106
K00790.02,CONFIRMED,60.41894,0.094,5.039,931.3,0.02742,4.26444,2.36,0.2884,89.94,390.0,5.49,93.71,6.33546,15.1398,20.1,5354.0,4.587,-0.08,0.788,0.884,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453,0.424,19.75777,51.31959,-0.06,0.26,0.0007,0.00025,0.0,0.53,0.53,0.09,0.46,0.46
K00791.01,CONFIRMED,12.6119,0.55,5.1497,6105.6,0.07376,0.61222,7.4,0.1058,88.17,753.0,76.15,17.27,31.53642,207.6196,277.2,5795.0,4.508,-0.02,0.919,0.992,15.14,15.659,15.072,14.918,14.825,13.942,13.546,13.478,0.0,19.27414,51.73768,-0.232,1.099,0.00117,0.00148,-0.065,-0.058,0.087,-0.033,-0.017,0.037
